NAME,STATE,SCHEDULED_TIME,COMPLETED_TIME,DURATION_SEC,ERROR_CODE,ERROR_MESSAGE
BRONZE_TO_SILVER_MATCHES_TASK,SUCCEEDED,2026-06-30 09:00:00,2026-06-30 09:00:08,8,,
BRONZE_TO_SILVER_MATCHES_TASK,SUCCEEDED,2026-06-30 03:00:00,2026-06-30 03:00:08,8,,
BRONZE_TO_SILVER_MATCHES_TASK,SUCCEEDED,2026-06-29 21:00:00,2026-06-29 21:00:08,8,,
BRONZE_TO_SILVER_MATCHES_TASK,SUCCEEDED,2026-06-29 15:00:00,2026-06-29 15:00:08,8,,
BRONZE_TO_SILVER_PLAYERS_TASK,SUCCEEDED,2026-06-30 09:00:00,2026-06-30 09:00:08,8,,
BRONZE_TO_SILVER_PLAYERS_TASK,SUCCEEDED,2026-06-30 03:00:00,2026-06-30 03:00:08,8,,
BRONZE_TO_SILVER_PLAYERS_TASK,SUCCEEDED,2026-06-29 21:00:00,2026-06-29 21:00:08,8,,
BRONZE_TO_SILVER_PLAYERS_TASK,SUCCEEDED,2026-06-29 15:00:00,2026-06-29 15:00:08,8,,
BRONZE_TO_SILVER_INTERVALS_TASK,SUCCEEDED,2026-06-30 09:00:00,2026-06-30 09:00:08,8,,
BRONZE_TO_SILVER_INTERVALS_TASK,FAILED,2026-06-30 03:00:00,2026-06-30 03:00:08,8,,
BRONZE_TO_SILVER_INTERVALS_TASK,SUCCEEDED,2026-06-29 21:00:00,2026-06-29 21:00:08,8,,
BRONZE_TO_SILVER_INTERVALS_TASK,SUCCEEDED,2026-06-29 15:00:00,2026-06-29 15:00:08,8,,
BRONZE_TO_SILVER_REFERENCES_TASK,SUCCEEDED,2026-06-30 09:00:00,2026-06-30 09:00:08,8,,
BRONZE_TO_SILVER_REFERENCES_TASK,SUCCEEDED,2026-06-30 03:00:00,2026-06-30 03:00:08,8,,
BRONZE_TO_SILVER_REFERENCES_TASK,SUCCEEDED,2026-06-29 21:00:00,2026-06-29 21:00:08,8,,
BRONZE_TO_SILVER_REFERENCES_TASK,SUCCEEDED,2026-06-29 15:00:00,2026-06-29 15:00:08,8,,
